cores,threads,width,height,time
1,1,1000,1000,0.561887
1,2,1414,1414,0.561156
1,3,1732,1732,0.561388
1,4,2000,2000,0.562239
1,5,2236,2236,0.571092
1,6,2449,2449,0.575061
1,7,2645,2645,0.574820
1,8,2828,2828,0.578236
1,9,3000,3000,0.578287
1,10,3162,3162,0.577735
1,11,3316,3316,0.580985
1,12,3464,3464,0.582418
1,13,3605,3605,0.582752
1,14,3741,3741,0.583022
1,15,3872,3872,0.583775
1,16,4000,4000,0.585022
1,17,4123,4123,0.588296
1,18,4242,4242,0.589824
1,19,4358,4358,0.591301
1,20,4472,4472,0.595204
1,21,4582,4582,0.594557
1,22,4690,4690,0.597234
1,23,4795,4795,0.598563
1,24,4898,4898,0.600208
1,25,5000,5000,0.596405
1,26,5099,5099,0.601899
1,27,5196,5196,0.603265
1,28,5291,5291,0.604221
1,29,5385,5385,0.607590
1,30,5477,5477,0.607603
1,31,5567,5567,0.608745
1,32,5656,5656,0.610284
1,33,5744,5744,0.611790
1,34,5830,5830,0.622817
1,35,5916,5916,0.620814
1,36,6000,6000,0.619780
1,37,6082,6082,0.619937
1,38,6164,6164,0.622617
1,39,6244,6244,0.617741
1,40,6324,6324,0.618183
1,41,6403,6403,0.617251
1,42,6480,6480,0.616223
1,43,6557,6557,0.618126
1,44,6633,6633,0.621700
1,45,6708,6708,0.624440
1,46,6782,6782,0.642941
1,47,6855,6855,0.632474
1,48,6928,6928,0.633095
1,49,7000,7000,0.628263
1,50,7071,7071,0.628665
1,51,7141,7141,0.621648
1,52,7211,7211,0.633834
1,53,7280,7280,0.633477
1,54,7348,7348,0.630524
1,55,7416,7416,0.632839
1,56,7483,7483,0.636655
1,57,7549,7549,0.634596
1,58,7615,7615,0.639077
1,59,7681,7681,0.638700
1,60,7745,7745,0.638364
1,61,7810,7810,0.642801
1,62,7874,7874,0.641977
1,63,7937,7937,0.642202
1,64,8000,8000,0.642619
1,65,8062,8062,1.137744
1,66,8124,8124,1.139189
1,67,8185,8185,1.138545
1,68,8246,8246,1.224523
1,69,8306,8306,1.174578
1,70,8366,8366,1.193657
1,71,8426,8426,1.206434
1,72,8485,8485,1.197742
1,73,8544,8544,1.198798
1,74,8602,8602,1.184274
1,75,8660,8660,1.195204
1,76,8717,8717,1.233850
1,77,8774,8774,1.225527
1,78,8831,8831,1.202402
1,79,8888,8888,1.220463
1,80,8944,8944,1.198914
1,81,9000,9000,1.205736
1,82,9055,9055,1.185347
1,83,9110,9110,1.224673
1,84,9165,9165,1.196204
1,85,9219,9219,1.208279
1,86,9273,9273,1.220851
1,87,9327,9327,1.237003
1,88,9380,9380,1.185938
1,89,9433,9433,1.240638
1,90,9486,9486,1.228704
1,91,9539,9539,1.226806
1,92,9591,9591,1.214353
1,93,9643,9643,1.236347
1,94,9695,9695,1.240837
1,95,9746,9746,1.236530
1,96,9797,9797,1.231105
1,97,9848,9848,1.278738
1,98,9899,9899,1.250030
1,99,9949,9949,1.226107
1,100,10000,10000,1.212492
1,101,10049,10049,1.209337
1,102,10099,10099,1.209638
1,103,10148,10148,1.246062
1,104,10198,10198,1.220547
1,105,10246,10246,1.243744
1,106,10295,10295,1.238081
1,107,10344,10344,1.232737
1,108,10392,10392,1.236059
1,109,10440,10440,1.235662
1,110,10488,10488,1.236272
1,111,10535,10535,1.245965
1,112,10583,10583,1.262066
1,113,10630,10630,1.248465
1,114,10677,10677,1.233136
1,115,10723,10723,1.255619
1,116,10770,10770,1.254786
1,117,10816,10816,1.243342
1,118,10862,10862,1.225589
1,119,10908,10908,1.227412
1,120,10954,10954,1.240886
1,121,11000,11000,1.258832
1,122,11045,11045,1.230338
1,123,11090,11090,1.259091
1,124,11135,11135,1.255009
1,125,11180,11180,1.251064
1,126,11224,11224,1.232323
1,127,11269,11269,1.228751
1,128,11313,11313,1.282614
